6947.2	6983.2	6969.6	7004.8
6340	6247.2	6273.6	6144
2003.2	1959.2	1983.2	1933.6
2212	2333.6	2369.6	2482.4
2485.6	2540	2524	2548
6243.2	6221.6	6296.8	6228
6176.8	6169.6	6036	6030.4
5963.2	5932	5947.2	5868
5977.6	5836.8	5826.4	5709.6
5417.6	5467.2	5548	5552
3377.6	3265.6	3254.4	3166.4
6773.6	6739.2	6817.6	6759.2
2355.2	2440	2445.6	2466.4
4386.4	4436	4475.2	4528
2420.8	2453.6	2419.2	2435.2
5200.8	5227.2	5164.8	5192.8
1889.6	1888.8	1883.2	1886.4
6347.2	6335.2	6317.6	6327.2
6110.4	6110.4	6077.6	6101.6
6740	6648.8	6642.4	6557.6
6603.2	6618.4	6525.6	6524
5288	5237.6	5180.8	5184
6091.2	5990.4	5959.2	5923.2
2971.2	2861.6	2845.6	2842.4
6601.6	6493.6	6500.8	6403.2
6490.4	6559.2	6578.4	6652.8
2298.4	2305.6	2213.6	2201.6
4536.8	4412	4420	4295.2
3536.8	3431.2	3416	3412.8
2185.6	2211.2	2206.4	2220.8
1951.2	1952	2040	2027.2
2906.4	2932.8	2916.8	2932.8
2500	2464.8	2504	2456
5283.2	5236.8	5274.4	5213.6
5695.2	5536	5521.6	5388.8
1964.8	1939.2	1981.6	1941.6
5828	5842.4	5724	5684
4795.2	4764.8	4812	4789.6
3733.6	3778.4	3764.8	3786.4
6997.6	6897.6	6892	6805.6
6810.4	6831.2	6821.6	6854.4
4918.4	4897.6	4836	4867.2
3255.2	3213.6	3271.2	3208.8
3686.4	3680	3739.2	3730.4
3915.2	3959.2	3950.4	3980
2456.8	2486.4	2471.2	2494.4
5260	5222.4	5252.8	5196
2225.6	2156.8	2180.8	2104.8
7371.2	7312	7348	7292
7000.8	6876	6890.4	6790.4
6323.2	6247.2	6238.4	6148
5537.6	5600	5634.4	5706.4
2500.8	2414.4	2405.6	2331.2
3520	3504.8	3563.2	3532.8
2830.4	2840.8	2952.8	2960.8
5368.8	5307.2	5315.2	5275.2
4959.2	4916.8	5081.6	5020.8
6901.6	6861.6	6923.2	6855.2
2708.8	2746.4	2732.8	2752
2270.4	2297.6	2425.6	2443.2
2356	2366.4	2446.4	2440
2250.4	2293.6	2283.2	2297.6
2996	3012	3110.4	3119.2
5464.8	5542.4	5566.4	5604.8
6571.2	6475.2	6444	6404.8
2808.8	2780	2791.2	2697.6
1999.2	2024.8	1987.2	2005.6
6015.2	5924	5820.8	5809.6
3528	3388	3384.8	3233.6
3138.4	3056	3070.4	3004
3339.2	3274.4	3288	3219.2
6719.2	6624.8	6590.4	6597.6
5143.2	5216.8	5171.2	5203.2
7317.6	7313.6	7284	7310.4
2583.2	2549.6	2617.6	2584
6782.4	6724	6765.6	6675.2
3992.8	3916.8	3928	3824
2060	2031.2	2077.6	2044
1950.4	1935.2	1921.6	1936.8
3256	3237.6	3130.4	3087.2
